Job Title,Company,Location,Experience Level,Salary,Industry,Required Skills
Secondary school teacher,Short PLC,Bangalore,Entry Level,68000,Retail,"Customer Service, Sales, Merchandising"
Veterinary surgeon,Santiago Inc,Bangalore,Entry Level,125000,Finance,"Risk Analysis, Python, Excel"
Claims inspector/assessor,Adams-Ortiz,Berlin,Mid Level,43000,Finance,Risk Analysis
Computer games developer,Thomas-Wong,Toronto,Mid Level,92000,Manufacturing,Quality Control
Risk analyst,Baxter and Sons,Berlin,Entry Level,47000,Software,"Machine Learning, Java"
Computer games developer,"Humphrey, Knight and Smith",Toronto,Entry Level,138000,Healthcare,Medical Research
Hospital doctor,"Baker, Barker and Murray",Bangalore,Mid Level,105000,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Public affairs consultant,"Ramos, Miller and Williams",New York,Mid Level,59000,Software,"C++, Machine Learning"
Learning disability nurse,Alvarez-Skinner,Toronto,Senior Level,142000,Retail,Sales
Environmental education officer,"Phillips, Hardin and Smith",Berlin,Entry Level,144000,Healthcare,"Nursing, Pharmaceuticals"
Copy,Washington-Guzman,Sydney,Entry Level,79000,Manufacturing,Production Planning
Catering manager,"Watson, Rowe and Terrell",Sydney,Senior Level,132000,Software,React
Medical physicist,Ross-Valencia,New York,Senior Level,49000,Retail,"Sales, Merchandising"
"Engineer, electrical",Mcgee PLC,London,Senior Level,84000,Finance,"SQL, Financial Modeling, Python, Risk Analysis"
Systems developer,"Jensen, Jackson and Reed",Berlin,Senior Level,77000,Software,"Python, Java, Machine Learning"
"Surveyor, commercial/residential",Kemp Ltd,Bangalore,Mid Level,90000,Manufacturing,Supply Chain
"Psychologist, clinical","Bennett, Lopez and Nash",Toronto,Entry Level,144000,Healthcare,Medical Research
Publishing copy,Spencer-Kelly,Toronto,Entry Level,68000,Finance,"Python, Financial Modeling"
Dance movement psychotherapist,"Farrell, Torres and Jenkins",Sydney,Mid Level,68000,Marketing,"Social Media, Content Writing, SEO, Market Research"
"Programmer, applications",Carson-Boyd,Bangalore,Senior Level,93000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Maintenance engineer,Le-Jimenez,London,Entry Level,59000,Retail,"Merchandising, Sales, Customer Service"
Historic buildings inspector/conservation officer,Molina-Green,Toronto,Senior Level,46000,Retail,"Sales, Customer Service, Merchandising"
Immunologist,Burke-Kennedy,Berlin,Senior Level,89000,Manufacturing,"Quality Control, Supply Chain"
Fitness centre manager,"Berry, Phillips and Harper",Bangalore,Entry Level,131000,Software,"C++, SQL, Java, Python"
Clinical molecular geneticist,"Patterson, Navarro and Mendoza",London,Senior Level,50000,Education,"Curriculum Design, Teaching"
Mudlogger,"Johnson, Brennan and Tyler",London,Senior Level,71000,Finance,"SQL, Excel"
Heritage manager,Underwood Ltd,Sydney,Entry Level,52000,Marketing,"SEO, Google Ads, Social Media, Market Research"
Armed forces operational officer,"Schroeder, Vega and Day",Sydney,Entry Level,119000,Marketing,"Content Writing, SEO, Market Research"
Public relations account executive,Franco-Gill,Sydney,Mid Level,48000,Software,"SQL, AWS, Java"
Personnel officer,Porter-Bass,New York,Senior Level,56000,Finance,"Risk Analysis, Financial Modeling, Python, SQL"
"Copywriter, advertising",Johnson-Green,Berlin,Mid Level,94000,Software,"AWS, Python, SQL"
Theme park manager,Kramer and Sons,New York,Senior Level,42000,Finance,Python
"Scientist, physiological",Reilly Ltd,Bangalore,Mid Level,119000,Healthcare,"Nursing, Medical Research"
Water quality scientist,Hunt-Roberts,London,Entry Level,128000,Finance,Excel
Diagnostic radiographer,Hernandez Group,Berlin,Senior Level,88000,Software,"AWS, Python, Java, SQL"
Paediatric nurse,"Rodriguez, Taylor and Lopez",Sydney,Entry Level,125000,Healthcare,"Patient Care, Pharmaceuticals"
Systems analyst,"Zimmerman, Weaver and Jones",Toronto,Entry Level,89000,Software,Python
Politician's assistant,Diaz-King,Sydney,Senior Level,132000,Education,"EdTech, Curriculum Design, Teaching, Research"
Publishing copy,Armstrong-Riley,San Francisco,Mid Level,141000,Finance,"Python, Risk Analysis"
Farm manager,Trevino Group,Toronto,Senior Level,63000,Marketing,"Content Writing, Social Media"
Gaffer,Owens PLC,Sydney,Mid Level,79000,Marketing,SEO
Media buyer,Daniels and Sons,San Francisco,Entry Level,104000,Finance,"Python, Financial Modeling, Risk Analysis, SQL"
Systems analyst,Ruiz-Escobar,Bangalore,Mid Level,47000,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care"
Furniture designer,"Foley, Jackson and Wilson",London,Entry Level,99000,Finance,Financial Modeling
"Designer, jewellery",Davis-Kelly,New York,Entry Level,107000,Education,"Curriculum Design, EdTech, Teaching, Research"
Paramedic,Richard PLC,Sydney,Entry Level,75000,Finance,Financial Modeling
"Runner, broadcasting/film/video","Butler, Ellis and Newman",San Francisco,Senior Level,99000,Software,"C++, React, SQL, Python"
Local government officer,"Hines, Jones and Daniel",Berlin,Senior Level,143000,Education,"EdTech, Teaching, Curriculum Design, Research"
Financial trader,Wells-Jacobs,Toronto,Senior Level,99000,Education,"Teaching, Research, EdTech"
Hydrogeologist,Kelley Group,London,Mid Level,94000,Software,"Python, React, C++, AWS"
Conference centre manager,Williams Ltd,Bangalore,Senior Level,126000,Software,"Java, Python, Machine Learning"
Telecommunications researcher,Miller and Sons,London,Senior Level,49000,Manufacturing,Production Planning
Production manager,Crane-Rose,Bangalore,Mid Level,119000,Healthcare,"Nursing, Patient Care, Medical Research"
Speech and language therapist,"Kirby, Bartlett and Stevens",Bangalore,Mid Level,121000,Marketing,"SEO, Content Writing"
Passenger transport manager,Smith Group,Berlin,Entry Level,142000,Marketing,"Google Ads, SEO, Social Media"
Toxicologist,Collier-Reed,San Francisco,Mid Level,73000,Education,Curriculum Design
Community pharmacist,Miller-Gonzalez,London,Entry Level,51000,Marketing,"Market Research, Google Ads, Social Media, SEO"
Medical laboratory scientific officer,"Santiago, Weaver and Anthony",San Francisco,Senior Level,104000,Education,"Curriculum Design, EdTech"
Ranger/warden,Simon Group,Toronto,Senior Level,76000,Marketing,"Social Media, Market Research"
Energy manager,Chapman Group,Berlin,Senior Level,120000,Education,"Research, EdTech, Curriculum Design, Teaching"
Local government officer,"Curtis, Rodriguez and Fischer",Bangalore,Mid Level,71000,Finance,"Excel, Financial Modeling, SQL, Python"
Secondary school teacher,Brown-Moon,Sydney,Entry Level,122000,Retail,"Merchandising, Sales, Customer Service"
"Engineer, manufacturing systems",Gillespie LLC,Sydney,Mid Level,122000,Marketing,"Social Media, Google Ads, Content Writing"
Music therapist,Douglas-Little,Bangalore,Senior Level,48000,Retail,Customer Service
Civil Service fast streamer,White-Robertson,Sydney,Entry Level,136000,Software,"SQL, Python"
"Research officer, government","Sanders, Lewis and Beasley",Berlin,Entry Level,61000,Finance,"Risk Analysis, Financial Modeling, Excel, SQL"
Educational psychologist,"Terry, Duncan and Ramos",Bangalore,Senior Level,109000,Software,C++
Building surveyor,Wilson-Bowman,New York,Mid Level,124000,Manufacturing,"Quality Control, Supply Chain"
"Engineer, electronics",Rangel-Richardson,Berlin,Mid Level,146000,Education,"Curriculum Design, EdTech, Research"
Chartered legal executive (England and Wales),Perkins and Sons,Sydney,Senior Level,48000,Marketing,"Google Ads, Social Media"
Agricultural consultant,Hubbard LLC,Bangalore,Senior Level,109000,Manufacturing,"Supply Chain, Production Planning"
"Programme researcher, broadcasting/film/video",Thompson-Smith,London,Senior Level,123000,Retail,"Customer Service, Merchandising, Sales"
"Accountant, chartered",Brown LLC,Berlin,Entry Level,100000,Finance,"Risk Analysis, Excel, Financial Modeling, Python"
Barrister's clerk,Hall and Sons,San Francisco,Mid Level,147000,Software,"Python, SQL, Machine Learning, Java"
Speech and language therapist,Whitney LLC,New York,Senior Level,126000,Retail,"Sales, Merchandising, Customer Service"
Trading standards officer,Austin-Valdez,New York,Entry Level,53000,Retail,"Customer Service, Merchandising"
"Scientist, marine",Davenport-Medina,San Francisco,Entry Level,95000,Retail,"Customer Service, Sales, Merchandising"
Insurance broker,Schaefer LLC,Bangalore,Senior Level,131000,Software,"Machine Learning, Java"
Materials engineer,"Cruz, Gross and York",London,Mid Level,147000,Software,"Java, AWS"
Set designer,"Bennett, Kidd and Jackson",New York,Mid Level,68000,Finance,"Risk Analysis, Financial Modeling, Python, SQL"
"Horticulturist, amenity",Thomas-Fox,New York,Mid Level,72000,Education,"Research, Curriculum Design"
Sports administrator,Moran-Gardner,London,Entry Level,95000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care, Nursing"
"Pharmacist, hospital","Hunt, Stevens and Powell",Berlin,Entry Level,72000,Manufacturing,"Supply Chain, Quality Control"
Drilling engineer,Ford Group,London,Senior Level,145000,Software,Machine Learning
"Engineer, manufacturing systems","Grant, Wood and May",Bangalore,Mid Level,101000,Manufacturing,"Production Planning, Supply Chain, Quality Control"
"Accountant, chartered management","Tate, Bradley and Ortiz",Sydney,Entry Level,116000,Software,"Python, Machine Learning"
"Copywriter, advertising",Garcia Group,San Francisco,Senior Level,48000,Finance,"Python, SQL, Financial Modeling, Risk Analysis"
"Sales professional, IT",Harris Ltd,Toronto,Mid Level,146000,Finance,"SQL, Python, Financial Modeling"
Chartered legal executive (England and Wales),"Nguyen, Stein and Sanchez",Sydney,Senior Level,87000,Manufacturing,Production Planning
Illustrator,"Miller, Bass and Haas",New York,Senior Level,62000,Manufacturing,Quality Control
"Geneticist, molecular",Fletcher-Burke,Sydney,Senior Level,106000,Healthcare,"Pharmaceuticals, Patient Care, Nursing, Medical Research"
Secretary/administrator,Chavez-Smith,Toronto,Entry Level,67000,Finance,"Financial Modeling, Excel, SQL"
Armed forces logistics/support/administrative officer,Ferguson-Livingston,Sydney,Senior Level,127000,Education,"Research, Teaching"
"Librarian, academic",Jones-Boyd,New York,Entry Level,100000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Educational psychologist,Cardenas-Gill,New York,Senior Level,74000,Manufacturing,"Quality Control, Supply Chain, Production Planning"
"Horticulturist, amenity","Thomas, Harris and Davidson",New York,Entry Level,94000,Education,"EdTech, Research"
Wellsite geologist,Daniel LLC,Berlin,Senior Level,54000,Retail,"Sales, Merchandising, Customer Service"
Biomedical engineer,Silva PLC,Bangalore,Mid Level,93000,Finance,"Python, SQL"
"Doctor, hospital",Campos-Snyder,Berlin,Mid Level,139000,Software,"Machine Learning, React, Java"
Product manager,"Molina, Arnold and Nelson",San Francisco,Entry Level,82000,Healthcare,"Pharmaceuticals, Medical Research, Nursing"
Fine artist,Thompson-Boyd,New York,Senior Level,118000,Finance,"Excel, Financial Modeling, Python"
Herbalist,"Jones, Scott and Allen",New York,Senior Level,94000,Software,"Python, React"
Quality manager,"Sanders, Hubbard and Cox",San Francisco,Mid Level,108000,Healthcare,"Nursing, Medical Research, Patient Care"
Lobbyist,"Odonnell, Hernandez and Perry",New York,Entry Level,57000,Software,"Java, Machine Learning, SQL, C++"
Learning disability nurse,"Miller, Walker and Anderson",San Francisco,Entry Level,59000,Marketing,Content Writing
Advice worker,"Ortega, Richards and Gonzales",San Francisco,Mid Level,105000,Healthcare,"Pharmaceuticals, Nursing"
Newspaper journalist,Little-Spears,New York,Entry Level,144000,Healthcare,"Pharmaceuticals, Medical Research, Nursing, Patient Care"
Advertising account executive,Obrien and Sons,San Francisco,Senior Level,89000,Software,"Python, C++"
Petroleum engineer,Strong-Mayo,New York,Entry Level,51000,Education,"Research, Teaching"
Print production planner,"Le, Frederick and Holmes",Sydney,Mid Level,101000,Software,C++
"Therapist, sports",Blake Inc,Sydney,Entry Level,113000,Finance,"Financial Modeling, Python, Excel, Risk Analysis"
Television floor manager,Smith Inc,Berlin,Entry Level,84000,Retail,"Customer Service, Sales, Merchandising"
"Conservator, museum/gallery",Ortiz-Stein,London,Senior Level,57000,Retail,"Merchandising, Customer Service"
Clinical molecular geneticist,Peterson-Horn,Berlin,Entry Level,45000,Software,"Machine Learning, Java, AWS"
Newspaper journalist,Barber-Mccarty,London,Entry Level,141000,Finance,"Financial Modeling, Python"
"Secretary, company","Christensen, Patterson and Navarro",New York,Entry Level,77000,Manufacturing,Production Planning
"Education officer, environmental",Nguyen Group,San Francisco,Senior Level,48000,Education,"Curriculum Design, EdTech, Research, Teaching"
Solicitor,Blake-Perez,Bangalore,Senior Level,139000,Marketing,"Market Research, SEO, Google Ads, Social Media"
Operational researcher,Ellis-Garcia,San Francisco,Mid Level,70000,Marketing,"Content Writing, Social Media, Google Ads"
"Engineer, water","Miller, Moses and Knapp",London,Mid Level,59000,Finance,"Financial Modeling, Excel"
Chief Marketing Officer,Weaver-Sanders,London,Entry Level,131000,Retail,"Merchandising, Customer Service"
"Librarian, academic",Moore Inc,London,Senior Level,94000,Manufacturing,"Production Planning, Supply Chain"
Investment analyst,"Olsen, Garcia and Weaver",London,Entry Level,121000,Software,"SQL, AWS, C++, React"
Chiropodist,Holder and Sons,Toronto,Entry Level,85000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research, Nursing"
Oncologist,Wheeler Group,London,Mid Level,105000,Healthcare,"Nursing, Medical Research, Patient Care, Pharmaceuticals"
"Surveyor, building control",Ford Ltd,New York,Senior Level,86000,Manufacturing,"Production Planning, Quality Control"
Travel agency manager,Thomas-Carter,Sydney,Senior Level,68000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research"
Pensions consultant,"Cooper, Navarro and Morgan",New York,Mid Level,136000,Marketing,"Content Writing, Google Ads"
Soil scientist,Barrett Inc,Sydney,Senior Level,148000,Education,"EdTech, Research"
"Engineer, petroleum","Reyes, Lawson and Lopez",New York,Mid Level,124000,Manufacturing,"Production Planning, Supply Chain, Quality Control"
Technical brewer,Ruiz-Nash,Bangalore,Entry Level,113000,Finance,Excel
Farm manager,James-Ramirez,London,Mid Level,101000,Healthcare,Patient Care
Merchant navy officer,Sweeney LLC,Bangalore,Senior Level,78000,Software,"C++, AWS, SQL"
"Surveyor, minerals",Hawkins PLC,Bangalore,Entry Level,113000,Marketing,"Google Ads, Social Media, Market Research, SEO"
Rural practice surveyor,Reyes and Sons,Sydney,Senior Level,127000,Education,"EdTech, Curriculum Design, Teaching"
Magazine journalist,Russell-Watson,San Francisco,Mid Level,125000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Estate manager/land agent,Hudson Ltd,London,Entry Level,111000,Finance,"Python, Excel, Risk Analysis"
Health visitor,Griffith-Browning,Berlin,Senior Level,102000,Education,Research
Ophthalmologist,"Owens, Knight and White",Berlin,Entry Level,51000,Healthcare,Pharmaceuticals
"Horticulturist, commercial",Morrison-Shaw,New York,Entry Level,139000,Software,"AWS, Python, Java"
"Geneticist, molecular",Morris Inc,Bangalore,Senior Level,85000,Finance,"Risk Analysis, SQL, Excel, Python"
"Doctor, general practice",Hall Inc,Toronto,Senior Level,75000,Finance,"Financial Modeling, Risk Analysis, SQL, Excel"
Arts administrator,"Roberts, Powell and Hull",San Francisco,Mid Level,81000,Finance,SQL
Agricultural engineer,"Strong, Fletcher and Gillespie",Toronto,Senior Level,138000,Manufacturing,Supply Chain
"Teacher, English as a foreign language","Murillo, Jimenez and Hamilton",Sydney,Mid Level,58000,Finance,"Risk Analysis, Excel"
Commercial horticulturist,Holland and Sons,Sydney,Entry Level,96000,Education,"Research, Teaching"
Diagnostic radiographer,Jones-Bentley,Bangalore,Entry Level,80000,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care"
"Engineer, technical sales",Kelly-Chan,San Francisco,Senior Level,86000,Education,"EdTech, Research, Teaching"
"Therapist, occupational","Woodard, Weiss and Orozco",New York,Mid Level,57000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Insurance risk surveyor,Larson Inc,London,Senior Level,55000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing"
Structural engineer,"Mcdonald, Zimmerman and Allen",San Francisco,Mid Level,92000,Education,"EdTech, Teaching"
Charity officer,Lopez-Curtis,Toronto,Entry Level,64000,Software,"Java, React"
"Lighting technician, broadcasting/film/video",Costa-Juarez,Berlin,Entry Level,147000,Marketing,Market Research
Herpetologist,Todd Group,Toronto,Entry Level,123000,Retail,"Sales, Customer Service, Merchandising"
"Administrator, arts","Garcia, Gibson and Gibson",Sydney,Senior Level,77000,Software,"Python, SQL"
Systems developer,Hensley-Dawson,Bangalore,Senior Level,68000,Healthcare,"Nursing, Pharmaceuticals, Medical Research, Patient Care"
Customer service manager,Bennett Ltd,Bangalore,Mid Level,117000,Retail,"Merchandising, Sales"
"Scientist, research (physical sciences)",Riddle-Gray,New York,Entry Level,93000,Retail,"Sales, Customer Service, Merchandising"
Hotel manager,"May, Sosa and Jones",Toronto,Entry Level,87000,Marketing,"SEO, Content Writing, Google Ads"
Exhibition designer,"Scott, Johnson and Baxter",London,Mid Level,43000,Retail,"Merchandising, Sales, Customer Service"
Operations geologist,Noble Group,Berlin,Entry Level,73000,Marketing,"Content Writing, Google Ads, Market Research, SEO"
Politician's assistant,Martin-Taylor,Toronto,Senior Level,128000,Education,Curriculum Design
Community education officer,"Soto, Williams and Lynch",Berlin,Entry Level,100000,Retail,"Sales, Merchandising"
Photographer,Freeman-Carter,Bangalore,Mid Level,40000,Finance,"SQL, Python, Excel, Risk Analysis"
Advertising copywriter,Ortiz Ltd,Toronto,Mid Level,85000,Healthcare,"Nursing, Pharmaceuticals, Medical Research, Patient Care"
"Education officer, environmental",Bennett-Gomez,Toronto,Senior Level,75000,Manufacturing,"Supply Chain, Production Planning"
"Development worker, community",Summers Ltd,Bangalore,Entry Level,122000,Education,EdTech
Conference centre manager,"Sullivan, West and Howard",Bangalore,Senior Level,71000,Finance,"Risk Analysis, Financial Modeling, Excel, SQL"
Commissioning editor,Brown-Ford,Bangalore,Entry Level,78000,Healthcare,"Pharmaceuticals, Nursing"
"Teacher, special educational needs","Davis, Thornton and Jackson",London,Entry Level,146000,Finance,"Financial Modeling, Python, Risk Analysis"
Financial controller,"Robinson, Hoffman and Cherry",Toronto,Mid Level,84000,Finance,SQL
Claims inspector/assessor,"Carter, Lynn and Burton",London,Mid Level,47000,Software,"Java, Machine Learning, C++, AWS"
Clinical molecular geneticist,Gomez-Hernandez,San Francisco,Mid Level,72000,Retail,Merchandising
Therapeutic radiographer,"Mcgee, Holland and Bennett",London,Mid Level,87000,Healthcare,"Nursing, Medical Research, Pharmaceuticals"
Environmental consultant,Thomas LLC,New York,Entry Level,46000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Health and safety adviser,"Dunn, Nicholson and Booth",London,Senior Level,75000,Education,"EdTech, Research, Curriculum Design"
"Social research officer, government",Joseph Inc,San Francisco,Mid Level,104000,Manufacturing,Production Planning
IT technical support officer,Mccoy-Gonzalez,San Francisco,Senior Level,58000,Marketing,Content Writing
Structural engineer,"Cabrera, Russell and Alvarez",London,Mid Level,60000,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Dietitian,Hoffman LLC,New York,Mid Level,78000,Marketing,"Google Ads, Social Media"
"Scientist, research (life sciences)","Lawrence, Romero and Rogers",Bangalore,Mid Level,146000,Healthcare,Nursing
"Therapist, music","Jimenez, Savage and Lewis",London,Mid Level,65000,Education,EdTech
Health and safety inspector,Torres-Peck,Berlin,Mid Level,45000,Finance,"Excel, Financial Modeling, Python"
Sports administrator,"Barry, Jackson and Romero",Berlin,Mid Level,121000,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Contractor,"Jimenez, Cummings and Holt",London,Senior Level,134000,Manufacturing,"Quality Control, Supply Chain, Production Planning"
Public relations account executive,Gonzales and Sons,Sydney,Entry Level,127000,Education,EdTech
Visual merchandiser,Smith-Kelley,Berlin,Mid Level,143000,Marketing,"Google Ads, Market Research, Social Media, SEO"
Health and safety inspector,"Cox, Drake and Payne",Toronto,Senior Level,47000,Software,SQL
"Designer, graphic",Cannon-Forbes,San Francisco,Entry Level,88000,Education,"Teaching, Curriculum Design"
"Engineer, maintenance","Harmon, Sullivan and Davis",Toronto,Mid Level,121000,Manufacturing,"Quality Control, Supply Chain"
Nature conservation officer,"Bowen, Schwartz and Martin",Berlin,Mid Level,83000,Finance,Risk Analysis
Heritage manager,Miller-Simpson,Bangalore,Senior Level,107000,Marketing,Content Writing
"Engineer, civil (consulting)",Snyder-Scott,Berlin,Mid Level,88000,Education,"Teaching, Curriculum Design, Research, EdTech"
Plant breeder/geneticist,"Jones, Gonzalez and Bruce",Sydney,Senior Level,131000,Retail,"Customer Service, Sales, Merchandising"
Audiological scientist,Bray Inc,London,Senior Level,112000,Finance,"Risk Analysis, Python, Financial Modeling"
"Research officer, trade union","Jones, Edwards and Pierce",San Francisco,Entry Level,41000,Finance,"Risk Analysis, Financial Modeling"
"Designer, ceramics/pottery",Weiss and Sons,London,Senior Level,98000,Marketing,"Market Research, Social Media, Google Ads, Content Writing"
Sports therapist,Rogers Ltd,London,Mid Level,105000,Software,"Java, C++, React, SQL"
Armed forces logistics/support/administrative officer,Garcia and Sons,Berlin,Mid Level,119000,Education,"Curriculum Design, EdTech, Teaching, Research"
Science writer,Blackburn-Wright,Berlin,Mid Level,109000,Software,Java
Barrister,Ford-Walters,Berlin,Entry Level,93000,Marketing,Market Research
Local government officer,Newton-Ponce,London,Senior Level,93000,Manufacturing,Supply Chain
Customer service manager,Harper-Cox,Bangalore,Entry Level,48000,Retail,"Sales, Merchandising, Customer Service"
Sports administrator,"Brown, Hernandez and Braun",New York,Mid Level,52000,Marketing,Market Research
Furniture designer,Ferguson LLC,Berlin,Entry Level,97000,Manufacturing,"Production Planning, Quality Control, Supply Chain"
Manufacturing engineer,Mcbride-Cobb,Sydney,Senior Level,99000,Healthcare,"Patient Care, Nursing, Pharmaceuticals, Medical Research"
Town planner,Fleming-Bailey,Berlin,Senior Level,83000,Marketing,"Market Research, SEO"
Geophysicist/field seismologist,Kim-Ramos,New York,Mid Level,96000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research"
"Producer, television/film/video",Taylor-Hunt,Bangalore,Entry Level,122000,Finance,"Python, Financial Modeling"
Operational investment banker,Cook Ltd,London,Mid Level,129000,Manufacturing,"Production Planning, Quality Control"
"Engineer, mining",Johnson-Williamson,Berlin,Senior Level,124000,Marketing,"Content Writing, Social Media"
Gaffer,Olson Group,Bangalore,Entry Level,137000,Retail,"Sales, Merchandising, Customer Service"
Orthoptist,Lewis LLC,Bangalore,Mid Level,62000,Education,"Teaching, Research, EdTech, Curriculum Design"
"Therapist, sports",Lee and Sons,San Francisco,Mid Level,130000,Marketing,Google Ads
Housing manager/officer,Robinson PLC,Toronto,Mid Level,96000,Education,"Curriculum Design, EdTech, Research, Teaching"
Outdoor activities/education manager,Mckinney Ltd,San Francisco,Mid Level,56000,Finance,"Risk Analysis, Python"
Chartered certified accountant,Dean Inc,Sydney,Entry Level,144000,Software,"Java, Machine Learning"
"Librarian, public","Martinez, Stark and Hunter",Bangalore,Entry Level,56000,Manufacturing,"Supply Chain, Production Planning"
Lexicographer,"Anderson, Reynolds and Underwood",Toronto,Entry Level,113000,Finance,"Risk Analysis, Financial Modeling, Excel"
Counselling psychologist,"Mendoza, Williams and Osborn",San Francisco,Mid Level,111000,Education,EdTech
"Designer, textile",Allen-Howard,New York,Mid Level,90000,Software,SQL
"Sales professional, IT",Duke-Ellis,Berlin,Senior Level,109000,Retail,"Customer Service, Merchandising, Sales"
Archaeologist,Wells-Dunn,Berlin,Entry Level,63000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Advertising account planner,Wilson Inc,Bangalore,Entry Level,59000,Manufacturing,Quality Control
Herpetologist,Coleman-Miller,London,Entry Level,143000,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Human resources officer,Thomas-Munoz,Bangalore,Entry Level,149000,Manufacturing,"Production Planning, Supply Chain"
Systems developer,Crawford-Franco,New York,Mid Level,47000,Finance,Excel
Therapeutic radiographer,Morton Ltd,Sydney,Mid Level,86000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
"Surveyor, building",Garcia PLC,London,Mid Level,115000,Education,"Teaching, Curriculum Design"
"Chemist, analytical","Ford, Boone and Johnson",Toronto,Senior Level,85000,Finance,SQL
Psychotherapist,Beasley-Hall,Bangalore,Mid Level,148000,Finance,"Python, Risk Analysis, Financial Modeling, Excel"
Technical brewer,"Marquez, Solomon and Phillips",Berlin,Mid Level,104000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing"
Telecommunications researcher,"Robbins, Kent and White",Sydney,Entry Level,102000,Finance,"Python, Risk Analysis, Excel"
"Engineer, broadcasting (operations)",Owens-Adams,London,Senior Level,65000,Manufacturing,Production Planning
"Engineer, biomedical",Harris Group,Berlin,Entry Level,40000,Healthcare,"Patient Care, Nursing, Medical Research, Pharmaceuticals"
Animal technologist,Cochran-Simpson,New York,Entry Level,52000,Education,"Research, Curriculum Design"
"Engineer, energy","Glenn, Robinson and Summers",New York,Entry Level,123000,Marketing,Google Ads
Youth worker,Taylor-Rodriguez,London,Mid Level,133000,Retail,"Sales, Merchandising"
Health promotion specialist,"Hernandez, Davila and Garcia",New York,Senior Level,137000,Education,"Teaching, Curriculum Design, EdTech"
Printmaker,Jones-Ford,Sydney,Mid Level,73000,Manufacturing,"Supply Chain, Quality Control"
Chartered legal executive (England and Wales),Washington Ltd,Berlin,Senior Level,124000,Marketing,"SEO, Google Ads, Market Research, Content Writing"
"Embryologist, clinical","Friedman, Elliott and Coleman",Bangalore,Senior Level,129000,Healthcare,"Medical Research, Pharmaceuticals, Nursing"
"Designer, television/film set",Dean-Nguyen,San Francisco,Mid Level,116000,Finance,Excel
Office manager,"Tucker, Nicholson and Villanueva",Bangalore,Mid Level,140000,Healthcare,"Nursing, Medical Research, Patient Care"
"Psychologist, clinical","Combs, Dyer and Williams",San Francisco,Mid Level,82000,Software,"Python, React, Machine Learning, SQL"
"Education officer, museum",Davis-King,Berlin,Mid Level,134000,Education,"EdTech, Research"
Systems developer,West-Anderson,Sydney,Mid Level,143000,Finance,Financial Modeling
Commissioning editor,Williams-Reed,London,Entry Level,108000,Manufacturing,Production Planning
